{Position / mm};{Ausschlag / nA}
0;0.36
1;0.38
2;0.42
3;0.46
4;0.52
5;0.58
6;0.60
7;0.62
8;0.62
9;0.60
10;0.62
11;0.65
12;0.75
13;1.05
14;1.45
15;2.05
16;2.80
17;3.80
18;4.80
19;5.60
20;6.60
21;7.40
22;7.80
23;8.20
24;8.40
24.5;8.80
25;9.4
25.5;9.0
26;8.8
27;8.0
28;7.2
29;6.0
30;5.0
31;3.8
32;3.0
33;2.1
34;1.6
35;1.2
36;1.0
37;0.9
38;0.94
39;0.96
40;0.86
41;0.82
42;0.78
43;0.72
44;0.64
46;0.56
47;0.50
48;0.44
49;0.38
50;0.34
